链接	小区	户型	面积(平米)	朝向	装修	是否电梯	成交年月	成交日期	总价(万)	楼层	总楼层数	建筑年份	签约来源	单价(元/平)	状态
http://bj.lianjia.com/chengjiao/BJCY90923978.html	润泽公馆	2室2厅	87	南	其他	有电梯	2015-12	2015.12.02	415	低楼层	共24层	2013年建板楼	链家网签约	47456	距13号线北苑995米
http://bj.lianjia.com/chengjiao/BJCY90732137.html	润泽公馆	3室2厅	144	南 北	精装	有电梯	2015-11	2015.11.11	672	高楼层	共23层	2013年建板楼	链家网签约	46592	距13号线北苑995米
http://bj.lianjia.com/chengjiao/BJCY89926384.html	润泽公馆	1室1厅	61	南	精装	有电梯	2015-09	2015.09.07	262	低楼层	共24层	2013年建板楼	链家网签约	43299	距13号线北苑995米
http://bj.lianjia.com/chengjiao/BJCY89944684.html	润泽公馆	2室1厅	88	南	精装	有电梯	2015-08	2015.08.30	409	高楼层	共23层	2013年建板楼	链家网签约	46309	房本满两年
http://bj.lianjia.com/chengjiao/BJCY89401973.html	润泽公馆	2室2厅	87	南	精装	有电梯	2015-07	2015.07.06	403.5	中楼层	共24层	2013年建板楼	链家网签约	46209	距13号线北苑995米
http://bj.lianjia.com/chengjiao/BJCY89353947.html	润泽公馆	1室1厅	61	南	精装	有电梯	2015-06	2015.06.27	256	中楼层	共23层	2013年建板楼	链家网签约	41707	距13号线北苑995米
http://bj.lianjia.com/chengjiao/BJCY87801485.html	润泽公馆	4室2厅	145	南 北	精装	有电梯	2015-05	2015.05.16	625	低楼层	共24层	2013年建板楼	链家网签约	43118	距13号线北苑995米
http://bj.lianjia.com/chengjiao/BJCY88842613.html	润泽公馆	1室1厅	61	南	毛坯	有电梯	2015-04	2015.04.28	235	中楼层	共26层	2015年建板楼	链家网签约	38645	距13号线北苑995米
http://bj.lianjia.com/chengjiao/BJCY88879718.html	润泽公馆	2室2厅	107	南	毛坯	有电梯	2015-04	2015.04.17	427	高楼层	共24层	2013年建板楼	链家网签约	39884	距13号线北苑995米
http://bj.lianjia.com/chengjiao/BJCY89089299.html	润泽公馆	3室2厅	144	南 北	精装	有电梯	2015-04	2015.04.07	620	中楼层	共24层	2013年建板楼	链家网签约	42933	距13号线北苑995米
http://bj.lianjia.com/chengjiao/BJCY88990058.html	润泽公馆	2室1厅	87	南	毛坯	有电梯	2015-03	2015.03.23	340	中楼层	共26层	2015年建板楼	链家网签约	39031	距13号线北苑995米
http://bj.lianjia.com/chengjiao/BJCY87750421.html	润泽公馆	1室1厅	61	南	其他	有电梯	2015-03	2015.03.21	240	低楼层	共24层	2013年建板楼	链家网签约	39663	距13号线北苑995米
http://bj.lianjia.com/chengjiao/BJCY88774030.html	润泽公馆	2室2厅	87	南 北	其他	有电梯	2015-03	2015.03.15	396	中楼层	共9层	2015年建板楼	链家网签约	45314	距13号线北苑995米
http://bj.lianjia.com/chengjiao/BJCY88313056.html	润泽公馆	3室1厅	112	南	毛坯	有电梯	2015-03	2015.03.11	460	中楼层	共26层	2015年建板楼	链家网签约	41211	距13号线北苑995米
http://bj.lianjia.com/chengjiao/BJCY88648310.html	润泽公馆	3室2厅	115	南 北	毛坯	有电梯	2015-01	2015.01.08	515	低楼层	共26层	2015年建板楼	链家网签约	44841	距13号线北苑995米
http://bj.lianjia.com/chengjiao/BJCY85909597.html	润泽公馆	3室2厅	145	南 北	精装	有电梯	2015-01	2015.01.02	515	低楼层	共26层	2015年建板楼	链家网签约	35628	距13号线北苑995米
http://bj.lianjia.com/chengjiao/BJCY88309025.html	润泽公馆	3室2厅	148	南 北	毛坯	有电梯	2014-11	2014.11.23	578	低楼层	共10层	2015年建板楼	链家网签约	39136	距13号线北苑995米
http://bj.lianjia.com/chengjiao/BJCY88454253.html	润泽公馆	2室2厅	107	南	精装	有电梯	2014-10	2014.10	暂无	中楼层	共24层	2013年建板楼	可靠第三方成交	暂无均价	距13号线北苑995米
http://bj.lianjia.com/chengjiao/BJCY87268448.html	润泽公馆	3室2厅	145	南 北	毛坯	有电梯	2014-06	2014.06.22	485	高楼层	共26层	2015年建板楼	链家网签约	33552	距13号线北苑995米
http://bj.lianjia.com/chengjiao/BJCY86792858.html	润泽公馆	3室2厅	145	东 南 北	毛坯	有电梯	2014-04	2014.04.04	580	中楼层	共26层	2015年建板楼	链家网签约	39931	距13号线北苑995米
http://bj.lianjia.com/chengjiao/BJCY86762641.html	润泽公馆	2室1厅	87	南	其他	有电梯	2014-03	2014.03.08	383.5	中楼层	共24层	2013年建板楼	链家网签约	43919	距13号线北苑995米
http://bj.lianjia.com/chengjiao/BJCY86886911.html	润泽公馆	2室2厅	107	南	其他	有电梯	2014-02	2014.02.23	472	低楼层	共24层	2013年建板楼	链家网签约	44087	距13号线北苑995米
http://bj.lianjia.com/chengjiao/BJCY86961802.html	润泽公馆	3室2厅	145	南 北	其他	有电梯	2013-11	2013.11	暂无	未知楼层	共23层	2013年建板楼	可靠第三方成交	暂无均价	距13号线北苑995米
EmptyLink	润泽公馆	--室--厅	61	暂无数据	其他	有电梯	2013-09	2013.09	暂无	中楼层	共24层	2013年建板楼	可靠第三方成交	暂无均价	距13号线北苑995米
EmptyLink	润泽公馆	--室--厅	61	暂无数据	其他	有电梯	2013-06	2013.06	暂无	高楼层	共24层	2013年建板楼	可靠第三方成交	暂无均价	距13号线北苑995米
http://bj.lianjia.com/chengjiao/BJCY85599928.html	润泽公馆	2室1厅	88	南	其他	有电梯	2013-03	2013.03.17	285	高楼层	共23层	2013年建板楼	链家网签约	32350	距13号线北苑995米
